ID,Tok Pisin,English
0,na,and
1,yu | yupela,you
2,ol,they
3,wan,one
4,hot | hotpela,hot
5,mipela,we
6,bilong yu,your
7,wataim or wanem taim,when
8,yusim,use
9,hau | olsem wanem,how
10,wanpela wanpela,each
11,mekim,do
12,bilong ol,their
13,bai,will
14,raitim,write
15,olsem long,like
16,lukim,see
17,longpela winim olgeta,look
18,de,day
19,go,go
20,bilong mi,my
21,moa tru,most
22,husat,who
23,manmeri,people
24,tamblo | tambolo,down
25,hapsait | sait,side
26,nau,now
27,painim pinis,find
28,pat,part
29,we | westap,where
30,baksait; bek,back
31,raun,round
32,yia,year
33,gutpela,good
34,givim,give
35,bilong mipela,our
36,nem,name
37,long namel long,through
38,gut tumas,great
39,ting,think
40,halivim | helpim,help
41,tanim,turn
42,min,mean
43,boi; manki | pikinini man,boy
44,lapun; olpela,old
45,tokim,tell
46,tri | tripela,three
47,laik,want
48,pilaim,play
49,putim,put
50,long haus,home
51,ridim | ritim,read
52,spelim,spell
53,hia,here
54,mas,must
55,wasmara | watpo,why
56,askim,ask
57,nidim,need
58,gen,again
59,het,head
60,ansaim,answer
61,skul,school
62,gro,grow
63,stadim,study
64,san,sun
65,fo | foa | fopela,four
66,i no gat wanpela taim,never
67,bihain tru,last
68,dua,door
69,biktaun,city
70,diwai kros,cross
71,hatpela; strong,hard
72,stori,story
73,longwe,far
74,solwara,sea
75,kais,left
76,ran | ron,run
77,wan wan or lik lik,few
78,dai (indai)i stop | stopim,stop
79,i op i stap | op,open
80,wait | waitpela,white
81,oltaim,always
82,musik or sing sing,music
83,leta,letter
84,ka | kar,car
85,namba tu,second
86,karim,carry
87,ren,rain
88,pren,friend
89,pis,fish
90,wanpela taim,once
91,hos,horse
92,kat | katim,cut
93,pes | pes olgeta,face
94,inap,enough
95,gel,girl
96,yangpela,young
97,redi,ready
98,retpela,red
99,filim,feel
100,no longtaim,soon
101,bodi,body
102,dok,dog
103,blakpela,black
104,sot | sotpela,short
105,kwesten,question
106,sip,ship
107,oda | odaim,order
108,king,king
109,aua,hour
110,mobeta,better
111,long taim bilong,during
112,wan handet,hundred
113,holim long tingting or no lusim tingting,remember
114,bipotaim,early
115,holim,hold
116,wes,west
117,faipela | faiv,five
118,sikis | sikispela,six
119,tebol,table
120,moningtaim,morning
121,ten | tenpela,ten
122,slo,slow
123,mani,money
124,map,map
125,pulim . . . i kam,pull
126,kol  | kolpela,cold
127,taun,town
128,krai,cry
129,masin,machine
130,sta,star
131,holim . . . i stap,contain
132,fran,front
133,skulim,teach
134,wik,week
135,grin | grinpela,green
136,tel,tail
137,i nogat samting,nothing
138,kos,course
139,sindaun or stap,stay
140,blu,blue
141,pasim tingting,decide
142,godaun tru,deep
143,ailan,island
144,fut,foot
145,i gat wok,busy
146,bot,boat
147,gol,gold
148,i ken,possible
149,draipela,dry
150,tingim . . .,wonder
151,lap,laugh
152,sekim,check
153,yes,yes
154,hotim,heat
155,bet,bed
156,pulapim,fill
157,hap san i kamap | or es,east
158,bilip | bilipim,believe
159,brukim,break
160,klinpela,clean
161,kom,comb
162,tok save long,explain
163,pinis | pinisim,finish
164,fiksim | piksim,fix
165,lusim tingting,forget
166,selim,sell
167,simuk | smok,smoke
168,spik,speak
169,swim,swim
170,tanim tok ples,translate
171,taipim,type
172,bikos | long wanem,because
173,tumora,tomorrow
174,asde,yesterday
175,plis,please
176,wanbel,agreement
177,blut,blood
178,brada | brata,brother
179,bata,butter
180,sans,chance
181,kala,colour
182,kuk,cook
183,pikinini meri (bilong em),daughter
184,i makim rot,direction
185,das,dust
186,pikinini bilong diwai; prut,fruit
187,gavman,government
188,man i soim rot or gait,guide
189,hetim | no laikim tru,hate
190,hop,hope
191,binatang,insect
192,ain; ainim | ainim klos,iron
193,jas,judge
194,kik,kick
195,lo,law
196,menaga,manager
197,bung | maket,market
198,kibung | kivung | miting,meeting
199,namel,middle
200,nius,news
201,nois,noise
202,mekim ofa,offer
203,pain - pen,pain
204,penim,paint
205,gutpela taim,peace
206,poisen,poison
207,polisim,polish
208,kagoboi,porter
209,paura,powder
210,prais,price
211,subim,push
212,belhevi,regret
213,rais,rice
214,sol,salt
215,sit,seat
216,sekreteri,secretary
217,hausboi | hausmeri,servant
218,seksek | seksekim,shake
219,sem,shame
220,slika,silk
221,silva,silver
222,ples bilong klaut,sky
223,pikinini man (bilong em),son
224,sup,soup
225,spes,space
226,ston,stone
227,suga,sugar
228,sapotim,support
229,takis,tax
230,klaut i pairap,thunder
231,trabel | trabol,trouble
232,westim,waste
233,wain,wine
234,gras bilong sipsip,wool
235,ami,army
236,paspas,band
237,basket,basket
238,belo,bell
239,bun,bone
240,botol,bottle
241,kru bilong het,brain
242,bras,brush
243,baten,button
244,kamera,camera
245,pusi,cat
246,sen,chain
247,sis,cheese
248,asket | usket,chin
249,sios,church
250,klaut,cloud
251,kap,cup
252,laplap bilong windo,curtain
253,ia | yau,ear
254,ensin,engine
255,gras bilong pisin,feather
256,pinga,finger
257,plua,floor
258,pok,fork
259,gaden,garden
260,soken bilong han,glove
261,masket,gun
262,gras bilong het,hair
263,hama | hamarim,hammer
264,pam,heart
265,huk,hook
266,hon,horn
267,haus sik,hospital
268,naip,knife
269,doba,leaf
270,paspas bilong lek,leg
271,maus,mouth
272,nus,nose
273,ofis | opis,office
274,switmuli,orange
275,aven,oven
276,pensil,pencil
277,pin,pin
278,paip,pipe
279,plet,plate
280,patete | poteto,potato
281,kalabus,prison
282,rat,rat
283,risit,receipt
284,sisis,scissors
285,siot,shirt
286,snek,snake
287,spun,spoon
288,tiket,ticket
289,pinga bilong fut/lek,toe
290,tang,tongue
291,trausis,trousers
292,ambrela,umbrella
293,windo,window
294,han bilong pisin,wing
295,bruk,broken
296,braun | braunpela,brown
297,i no dia,cheap
298,luluai,chief
299,lektrik,electric
300,gre,grey
301,amamas | hamamas,happy
302,i bikpela samting,important
303,marit,married
304,samting tru,natural
305,tambu long olgeta,private
306,sap | sappela,sharp
307,swit,sweet
308,i gat wara | wet,wet
309,brait,wide
310,yelo | yelopela,yellow
311,i na slip,awake
312,i dai pinis,dead
313,narapela kain,different
314,doti,dirty
315,i no brait,narrow
316,bilong olgeta man na meri,public
317,tok hait,secret
318,malmalum,soft
319,bun nating,thin
320,kranki,wrong
321,Epril,April
322,Ogas,August
323,Austrelia,Australia
324,Baibel,Bible
325,kumul,Bird of Paradise
326,Bipi,Burns Philp
327,Katolik,Catholic
328,kristen,Christian
329,kokakola | kouk,Coca-Cola
330,Desemba,December
331,Ista,Easter
332,Inglis,English
333,mastamisis | ol waitman,Europeans
