Tok Pisin,English
Welkam,Welcome
"Gude
Hi
Hai",Hello (General greeting)
"Yu stap gut?
Yu olsem wanem?",How are you?
Mi stap gut,Reply to 'How are you?'
Longpela taim mi no lukim yu,Long time no see
"Wanam nem bilong yu?
Husat nem bilong yu?",What's your name?
"Nem bilong mi emi ...
Nem bilong mi i ...",My name is ...
"Ples bilong yu we?
Yu kam long wanem hap?
Yu bilong wanem hap?",Where are you from?
"Ples bilong mi ...
Mi bin kam long ...
Mi kam long ...
Mi mangi ...",I'm from ...
Gutpela long bungim yu,Pleased to meet you
"Moning
Moning tru
Moning nau",Good morning (Morning greeting)
Apinum,Good afternoon (Afternoon greeting)
"Apinum
Gut nait",Good evening (Evening greeting)
Gut nait,Good night
"Gutbai
Lukim yu bihain (inf)",Goodbye (Parting phrases)
,Good luck!
"Cheers!
God blesim yu!","Cheers! Good Health! 
(Toasts used when drinking)"
Kisim gutpela de,Have a nice day
Hamamas!,Bon appetit / Have a nice meal
,Bon voyage / Have a good journey
Mi save tok bilong yu,I understand
Mi no harim tok bilong yu,I don't understand
Yesa,Yes
Nogat,No
Ating,Maybe
Mi no save,I don't know
,Please speak more slowly
Tokim gen,Please say that again
,Please write it down
"Yu save long tok inglis, a?
Toktok long tok inglis?",Do you speak English?
"Yu save long Tok Pisin?
Toktok long tok pisin?",Do you speak Tok Pisin?
"Ya, liklik","Yes, a little
(reply to 'Do you speak ...?')"
Toktok wantaim mi long tok pisin tasol,Speak to me in Tok Pisin
Hausat mi autim ... long tok pisin?,How do you say ... in Tok Pisin?
Skius,Excuse me
"Hamas long dispela?
Em hao mas?",How much is this?
"Mi sori
Mi sori tumas",Sorry
Plis,Please
"Tenkyu
Tenkyu tru
Tenkyu tumas",Thank you
"Nogat samting
Maski",Reply to thank you
Smolhaus i stap we?,Where's the toilet?
Dispela man bai i bekim pe long olgeta samting,This gentleman will pay for everything
Dispela meri bai i bekim pe long olgeta samting,This lady will pay for everything
Yu laik danis wantaim mi?,Would you like to dance with me?
"Yu sutim lewa bilong mi
Mi misim yu",I miss you
Mi lavim yu,I love you
,Get well soon
Larim mi!,Go away!
Larim mi!,Leave me alone!
Help!,Help!
Paia!,Fire!
"Holim!
Stap!",Stop!
Singautim polis!,Call the police!
"Bikpela hamamas blong dispela Krismas go long yu
Meri Krismas
Hepi Nu Yia",Christmas and New Year greetings
Hepi ista,Easter greetings
Hepi berthde,Birthday greetings
Wanpela tok ples i no inap,One language is never enough
