Tok Pisin,English
abababa,bubble gum
abrus long; longwe liklik long,apart from
abrusim,avoid
abrusim,"pass, overtake"
abrusim ka,overtake a car
abus,meat
abus,garnish
abus,"game, meat"
abus,animal
abus,side-dish
adres,address
adresim,address (letter)
ai,eve
ai bilong,"front of, in"
"ai i hevi, ai x slip",sleepy
ai i raun,dizzy
aiglas,spectacles
ailan,island
ailan Manam,Manam Island
"ain; ainim, ainim klos",iron
ainim,press (clothes)
aipas,blind
ais,snow
ais,ice
aisblok,iceblock
aiskrim,ice-cream
akis,axe
akselareta,accelerator
"alta, tebol tambu",altar
"amamas, hamamas",happy
ambrela,umbrella
ami,army
"ananas, painap",pineapple
ananit,"under, underneath"
ananit,bottom
ananit bilong lek,sole of foot
anien,onion
anka,anchor
ansa,result
"ansaim, bekim tok",answer
antap,upstairs
antap,summit
antap,up
antap,high
antap long,on top of
antap long,on
antap long,above
antapim,increase (price)
apim (pe),"raise, increase"
apinun,evening (early
apinun,good afternoon
apinun,afternoon
arasait,far side
arasait,opposite
arasait,"other side, opposite side"
arere,"next to, beside"
arere,border
arere,edge
arere bilong kantri,frontier
arere long,beside
arse gras,bunch of tanket leaves stuck into a belt to cover a man's backside (Highlands)
arse tanket,bunch of tanket leaves stuck into a belt to cover a man's backside
as,cause
as,anus
as,buttock
as,"base, basis"
as,origin
as,posterior part
asde,yesterday
askim,ask
asples bilong gavman,seat of government
asples bilong mi,"home town, my"
"asua, hevi",difficulty
asua; rong,fault
ating,either/or
ating,probably
ating,I think (so)
ating,seems
"ating, nating",perhaps
aua,hour
ausait,outside
Austrelia,Australia
autbotmota,outboard motor
autim,"speak out, divulge"
autim,cross out
autim long wok,"sack, dismiss"
aven,oven
ba,bar
bagarap,break down
bagarap,worn out
bagarapim,spoil
bagi,red shell necklace used for trade in the kula ring islands
bai,will
Baibel,Bible
baim,buy
baim,rent
baim,pay for
baim bas,catch a bus
baim rum gat,pay bail
baksait,back (rear)
baksait bilong lek,calf of leg
baksait bilong nek,nape of neck
baksait; bek,back
"balm, peim",pay (vb)
balus,pigeon
balus,"aeroplane, airplane"
balus,"airplane, aeroplane"
baman,"barman, bartender"
bamim,bump
banana,banana
banana boat,trade boat or dinghy
banara,bow
banaras,bows and arrows
banis,fence
banis,ribs
banis,wall
banis bilong susu,"brassiere, bra"
banisim,fence in
banisim,enclose
baret,"trench, drain"
"bas, PMV",bus
basket,basket
bata,butter
baten,button
bateri,battery
bautim,turn (boat)
bek,bag (n)
bek,back (again)
bekbun,backbone
bekim tok,reply
bel,belly
bel i pas,constipated
bel i tantanim,nauseated
belhevi,regret
belisi,peaceful (person)
belisi,calm (person)
belo,bell
belo bilong klok,clock's alarm
belo kaikai,noon
benetii,cassowary (New Britain); see also Muruk
beng,bank
bensin,gasoline
bensin,petrol (gasoline)
bet,bed
bet sel,canvas stretcher
bia,beer
bigman,important man; leader
bihain,next (after)
bihain,later on
bihain long,since (time)
bihain long,behind
bihain tru,last
"bihain, bihain long","after, afterwards"
bihainim,follow
bihainim,copy
bihainim,imitate
bihaintaim or taim i lus,late (behind time) later
bikbus,dense bush
bikhet,"stubborn, conceited"
"bikmama, smolmama, kandere","aunt, paternal"
biknait,dead of night
biknait,midnight
bikpela,main
bikpela,big
bikpela man,adult
bikpela su,boot (n)
bikpela tru,enormous
bikples,main village
bikrot,main road
biktaun,city
bil,bill
bilas,finery
bilas,decoration
bilas,jewelry
bilasim,decorate
"bilip, bilipim",believe
bilong,from
bilong,in order to
bilong bisnis,commercial
bilong em,his
bilong em,her
bilong husat,whose
bilong longwe ples,foreign
bilong mi,my
bilong mipela,our
bilong ol,their
bilong olgeta man na meri,public
"bilong wanem, long wanem, bikos",because
"bilong wanem, wasmara, watpo",why
bilong wanem?,what for?
bilong yu,your
bilum,string netbag
bin,was
bin,did
bin,past tense marker
"bin, ol bin",beans
binatang,insect
Bipi,Burns Philp
bipo,before
bipo,former
bipo,formerly
bipo long taim,before (time)
bipo tru,longer than
bipotaim,early
birua,"enemy, opponent"
"birua, tupela i bam, bagarap",accident
bis,beads
bisket,biscuit
"bisnis, lain, famili",clan
"bisnis, lain, famili",moiety
blakbokis,flying fox
blakpela,black
blakpela sos,barbecue sauce
"blaksos, blakpela sos, soisos",soya sauce
blanket,blanket
blokim,raise with block and tackle
blu,blue
blut,blood
blut i kamap,bleed
boamasin,drilling machine
"bodi, skin",body
"boi; manki, pikinini man",boy
boil,"boiling, be"
boilim,boil (something)
boipren,boyfriend
bokis,box (n)
bokis ais,refrigerator
bokis ais,"ice chest, refrigerator"
bokis wailis wantem piksa,television
